id,frame,eq_radius
1,80,50.269893439444594
1,81,61.641423664415065
1,82,66.86777229146868
1,83,67.80375864325288
1,84,62.17614950849029
1,85,45.8141396240933
1,86,35.3823795463342
1,87,29.93396615230549
1,88,28.50693142776363
1,89,21.535494054462344
1,91,13.458020851469092
2,92,8.97398468933946
2,97,11.576202403352141
3,98,10.092530088080641
3,101,14.350836085779552
4,102,15.138795132120961
4,104,6.817128675830715
5,105,7.735777827895049
5,107,8.556358677747903
6,108,12.80349918517013
7,119,9.772050238058398
7,124,12.386499309352384
8,125,9.166995688475081
8,127,8.79484521425256
9,128,9.804569629897316
9,130,11.861406733319429
10,131,11.18462271470208
10,132,7.776816725043752
10,133,7.569397566060481
10,134,17.751810818109593
10,135,14.32863833686038
11,152,10.02925341359355
11,160,8.117274569709014
11,163,12.126795430653198
12,164,8.175883811466258
12,166,9.965574970333758
13,167,15.594510349620345
13,168,9.690274321412074
13,170,8.175883811466258
13,173,12.791062563308351
14,174,11.084566571000565
14,176,8.311031542587394
15,177,12.914889870235298
15,178,8.03846421247924
15,179,9.201653640780462
15,180,10.86705883733894
15,183,16.371222439596615
16,184,13.493452297211721
16,185,8.884866446580956
16,186,9.18434101276213
16,187,8.07796550300118
16,188,8.77673016883152
16,189,12.283276682185287
16,190,11.941642642883693
16,191,8.722159296752494
17,197,8.349243383340204
17,199,13.086279790944385
18,200,12.412170838050638
18,201,7.312732791431452
18,205,10.764051215546116
19,206,13.098436114783443
19,207,9.52461639974967
19,209,8.462843753216344
20,210,8.884866446580956
20,212,10.108287365572707
21,213,9.507891862878783
21,214,9.287732724180174
21,215,12.179179240065665
21,216,15.440663999700893
21,217,9.45754080179648
21,218,8.703892974511014
21,219,11.24139781410501
21,220,11.070199012698888
21,221,11.368105109938904
21,222,14.395128895068906
21,223,12.791062563308351
21,224,9.23618154310838
21,225,9.009385160867895
21,226,10.600159896099592
21,228,11.283791670955125
22,229,10.86705883733894
22,230,7.463526651802308
22,231,9.166995688475081
22,232,13.750493532712623
22,233,11.54867275105708
22,234,10.357143990692485
22,235,11.54867275105708
22,236,10.925484305920792
22,237,7.463526651802308
22,238,13.657583728599336
22,239,13.38687663054658
22,240,8.79484521425256
22,241,10.925484305920792
22,242,12.283276682185287
22,244,10.539931227391522
23,245,11.901592303208293
23,246,10.013371767186818
23,247,7.878478774854901
23,248,14.339741506551949
23,249,15.756957549709801
23,250,9.901487006738307
23,251,12.890219570974683
23,252,12.640868754332628
23,254,11.465687201119065
24,255,12.753679933255228
24,256,9.91754782346883
24,257,8.6488625410045
24,258,12.087358593107094
24,259,12.728697186576065
24,260,8.866935315394846
24,261,12.951807210534664
24,262,13.255453865237978
24,263,7.653039857325812
24,264,10.448937312523231
24,265,14.549091872423544
24,266,10.808317548511017
24,267,11.603666741842574
24,268,13.207339536360731
24,269,11.64474179680661
24,270,11.055812783082736
24,271,13.934454799959427
24,272,13.727325035155395
24,273,10.764051215546116
24,274,8.902761462589227
24,275,8.406235467365967
24,277,8.812923024107548
24,281,9.997464891746821
25,282,11.055812783082736
25,283,12.476118560829471
25,284,15.807379942744328
25,285,16.00748132524138
25,286,12.463355264843006
25,287,15.746853696442757
25,288,15.817445133157866
25,289,9.23618154310838
25,290,10.249012754438885
25,291,10.02925341359355
25,292,8.991702346646203
25,293,10.233472165128859
25,294,9.997464891746821
25,295,11.576202403352141
25,296,11.631066229203196
25,297,13.73891416768399
25,298,15.797308339337176
25,299,12.70366530947592
26,306,10.734438914006276
26,307,13.195283541573993
26,308,11.794126515444734
26,309,13.58748446131949
26,310,17.751810818109593
26,311,16.56451393462626
26,312,11.18462271470208
26,313,9.25339718068125
26,314,8.83096382707056
26,315,9.079772052293041
26,316,10.076748170547344
26,317,11.354096349090721
26,318,11.71288013023329
26,319,10.585134856802455
26,320,11.098915530497878
26,321,11.213046198183495
26,322,10.998079684646791
26,323,11.968268412042981
26,324,12.728697186576065
26,325,9.690274321412074
26,326,12.80349918517013
26,327,13.657583728599336
26,328,13.599192765483634
26,329,11.311965976163641
26,330,14.350836085779552
26,331,11.954962939989485
26,332,10.925484305920792
26,333,8.462843753216344
26,334,9.009385160867895
26,335,8.234075889688375
