id,frame,cx,cy,area,eq_radius
1,883,118.99201,128.74776,6440.0,45.275993
1,884,117.28624,130.11777,9738.0,55.674965
1,885,118.30733,130.2866,11075.0,59.374084
1,886,117.24108,130.4768,10323.0,57.322884
1,887,112.69275,129.8602,8012.0,50.500484
1,889,71.884636,126.047226,2449.0,27.92026
1,890,49.193085,137.95366,1773.0,23.756334
3,1017,118.06134,132.03976,443.0,11.874817
3,1018,118.491585,127.43318,831.0,16.263933
3,1019,118.8029,125.291954,480.0,12.360774
3,1057,119.84902,128.51035,344.0,10.464158
3,1058,120.61612,132.00908,338.0,10.372499
3,1059,121.337036,134.27037,198.0,7.938851
3,1060,122.31004,135.55698,183.0,7.632215
3,1061,121.40982,135.2392,218.0,8.330159
3,1072,121.54477,133.54263,147.0,6.840435
3,1073,120.91157,132.85275,178.0,7.527228
3,1076,122.14876,134.10179,149.0,6.8868117
3,1077,122.10442,135.34073,141.0,6.69938
3,1080,121.67911,133.90764,96.0,5.5279064
3,1081,120.961075,132.71603,138.0,6.6277266
3,1083,119.99899,131.5998,211.0,8.195327
3,1084,119.582985,131.31456,176.0,7.4848204
3,1085,118.50034,131.7722,231.0,8.574939
3,1092,119.578964,133.12311,136.0,6.5795245
3,1093,119.47394,132.66841,168.0,7.3127327
3,1094,119.266655,132.38712,154.0,7.0014086
3,1100,118.71164,131.73174,347.0,10.509687
3,1101,117.8296,132.83095,465.0,12.166104
3,1102,118.17836,133.53973,284.0,9.507892
3,1105,118.19138,133.75024,230.0,8.556358
3,1107,118.81896,132.70648,167.0,7.290936
3,1108,117.64684,132.54497,218.0,8.330159
3,1109,116.67008,132.41315,244.0,8.8129225
3,1131,119.06445,134.18109,130.0,6.4327507
3,1132,118.16632,133.43031,384.0,11.055813
3,1133,117.26388,134.02837,462.0,12.126795
3,1134,117.434204,134.85083,269.0,9.253397
3,1135,119.48294,132.52682,244.0,8.8129225
3,1136,119.71224,131.31644,222.0,8.406236
3,1137,118.49487,131.98174,360.0,10.704744
3,1142,118.250824,131.1085,115.0,6.050259
3,1143,115.25694,130.80759,400.0,11.283792
3,1144,113.19003,130.72617,604.0,13.865755
3,1145,113.47287,130.85153,670.0,14.603685
3,1146,114.37866,130.7244,599.0,13.808245
3,1147,114.909515,130.70131,420.0,11.562446
3,1148,113.80092,130.16138,492.0,12.51433
3,1149,112.780655,129.62656,483.0,12.399342
3,1150,113.045395,129.62279,387.0,11.098915
3,1151,112.34091,129.95276,379.0,10.983599
3,1152,111.12537,128.87285,307.0,9.8854
3,1153,110.002426,128.33789,251.0,8.938444
3,1168,112.6387,127.5735,145.0,6.793742
3,1169,112.984665,127.28276,325.0,10.171072
3,1170,113.505035,127.458336,336.0,10.341765
3,1171,113.47101,127.21902,342.0,10.433694
3,1172,113.02966,127.2204,411.0,11.437892
3,1173,113.070244,126.87758,439.0,11.821084
3,1174,114.10759,126.96691,410.0,11.423968
3,1175,113.48674,126.87626,566.0,13.422496
3,1176,113.52613,126.99525,1057.0,18.34267
3,1177,113.59366,126.831154,1596.0,22.539356
3,1178,114.38994,126.306915,1236.0,19.835094
3,1179,113.51238,126.29231,658.0,14.472315
3,1180,117.70836,125.493286,461.0,12.113665
3,1181,116.93858,124.72286,534.0,13.037541
4,1205,117.66134,129.1676,260.0,9.097283
4,1207,118.666916,129.5079,330.0,10.249013
4,1208,119.17435,130.0765,384.0,11.055813
4,1217,119.72523,127.29564,164.0,7.225152
4,1219,119.813835,124.328964,180.0,7.5693974
4,1220,119.70535,123.05168,188.0,7.735778
4,1221,119.92775,123.65024,240.0,8.740387
4,1222,119.454056,125.81205,224.0,8.444016
4,1223,119.22055,126.013916,278.0,9.4069195
4,1224,119.29939,126.01886,272.0,9.3048525
4,1225,119.37373,126.49167,266.0,9.2016535
4,1226,119.15677,126.17511,351.0,10.570088
4,1227,119.14787,126.56673,360.0,10.704744
4,1228,118.87348,126.24693,345.0,10.479357
4,1229,119.14113,127.3083,240.0,8.740387
4,1230,119.784065,128.49208,228.0,8.519075
4,1231,119.618744,128.96822,254.0,8.991702
4,1232,118.84946,126.79434,217.0,8.311031
4,1233,118.749146,125.992905,232.0,8.59348
4,1234,118.40393,125.73272,231.0,8.574939
4,1235,117.9659,125.57771,209.0,8.156394
4,1236,117.796036,125.541985,222.0,8.406236
4,1237,117.56818,125.76025,211.0,8.195327
4,1238,117.58254,125.66975,203.0,8.038465
4,1239,117.38777,125.435394,212.0,8.214725
4,1240,117.06375,125.187126,253.0,8.973985
4,1241,116.49425,124.81727,321.0,10.108287
4,1242,116.00441,124.62654,338.0,10.372499
4,1243,116.15536,124.498184,326.0,10.186708
4,1244,115.56308,124.52072,382.0,11.026984
4,1245,115.189026,124.56594,479.0,12.347892
4,1246,114.86591,124.1409,543.0,13.146949
4,1247,114.52277,123.989044,505.0,12.678584
4,1248,114.83531,124.132614,413.0,11.465687
4,1249,114.53484,123.63202,345.0,10.479357
4,1250,114.11958,123.55371,343.0,10.448937
4,1251,113.885056,123.65544,340.0,10.403142
4,1252,114.15695,124.66588,484.0,12.41217
4,1253,114.28601,125.57335,591.0,13.715726
4,1254,113.91135,125.26643,589.0,13.692498
4,1255,113.84679,125.30546,609.0,13.923028
4,1256,114.11911,124.90317,501.0,12.628272
4,1257,114.16336,125.25275,530.0,12.98862
4,1258,113.738686,125.357544,462.0,12.126795
4,1259,113.12273,125.27985,616.0,14.002817
4,1260,112.82838,125.211365,559.0,13.339236
4,1261,112.71893,124.91009,521.0,12.877867
4,1262,112.88261,124.812,529.0,12.97636
4,1263,112.66057,124.26001,549.0,13.219384
4,1264,112.26012,123.91979,507.0,12.703665
4,1265,112.49908,123.91402,400.0,11.283792
4,1266,112.21706,123.86122,516.0,12.815924
4,1267,111.642075,123.56312,496.0,12.565099
4,1268,111.54606,123.38141,474.0,12.283277
4,1269,111.52759,123.19533,345.0,10.479357
4,1270,111.96811,122.854965,477.0,12.322086
4,1271,111.34661,122.518585,471.0,12.244344
4,1272,111.16819,122.204926,501.0,12.628272
4,1273,111.18663,122.02779,473.0,12.270313
4,1274,111.19844,121.57296,478.0,12.334995
4,1275,111.13692,121.76954,480.0,12.360774
4,1276,110.79443,121.4133,455.0,12.0345745
4,1277,110.74974,121.36299,389.0,11.127558
4,1278,110.74905,121.04046,365.0,10.778827
4,1279,110.99428,121.03774,399.0,11.269678
4,1280,110.95253,120.81888,367.0,10.808317
