id,frame,cx,cy,area,eq_radius
1,3124,101.88404,131.0682,10349.0,57.395027
1,3125,101.46104,130.83003,11276.0,59.91045
1,3126,99.436264,130.9123,10225.0,57.05014
1,3127,96.991844,130.74258,7240.0,48.00587
1,3128,66.58559,124.016716,2340.0,27.291851
1,3129,55.003033,132.41345,1988.0,25.155518
1,3130,37.179718,135.23145,1366.0,20.852129
3,3270,101.4836,133.0572,224.0,8.444016
3,3278,101.78749,127.12641,381.0,11.012541
3,3282,102.72002,122.99993,201.0,7.998768
5,3309,101.18492,123.95549,424.0,11.617374
5,3310,100.40415,123.58926,376.0,10.940042
5,3311,102.33905,124.8354,150.0,6.909883
5,3312,101.61847,125.459076,212.0,8.214725
5,3313,101.48918,125.47517,156.0,7.0467257
5,3314,101.9434,123.37987,175.0,7.4635262
5,3316,102.02925,125.4731,152.0,6.9557962
5,3317,101.56889,126.79804,274.0,9.338999
5,3318,101.80133,127.51596,158.0,7.091753
5,3320,101.93782,130.08974,166.0,7.269074
5,3321,101.246796,131.22055,376.0,10.940042
5,3322,101.195,130.21071,393.0,11.184623
5,3323,100.9034,127.94063,246.0,8.848968
5,3325,99.34304,124.587006,376.0,10.940042
5,3326,101.14479,125.3127,236.0,8.667245
5,3327,102.41118,125.98393,192.0,7.8176403
5,3328,102.66293,125.55463,144.0,6.770275
5,3329,101.85149,124.967545,226.0,8.481629
5,3330,102.276695,125.02219,154.0,7.0014086
5,3332,102.40453,126.07857,155.0,7.0241036
5,3333,101.57836,127.33245,281.0,9.4575405
5,3334,101.36551,126.77858,246.0,8.848968
5,3336,101.74579,130.51201,163.0,7.20309
5,3337,100.90823,130.61234,282.0,9.474354
5,3338,100.925575,130.9122,342.0,10.433694
5,3339,102.40955,129.73447,196.0,7.898654
5,3340,101.5692,129.57343,309.0,9.917547
5,3341,101.752205,130.04572,216.0,8.29186
5,3342,100.94233,129.79047,256.0,9.027033
5,3349,100.93947,126.22125,273.0,9.321941
5,3350,101.66037,124.844315,292.0,9.640876
5,3351,103.11691,124.65785,164.0,7.225152
5,3352,102.66698,124.72141,164.0,7.225152
