id,frame,cx,cy,area,eq_radius
1,3989,107.52586,130.64133,2559.0,28.54041
1,3990,103.533875,129.92577,7979.0,50.396374
1,3991,106.6998,130.64645,11176.0,59.644203
1,3992,107.41281,131.50052,12139.0,62.16079
1,3993,106.21935,131.25006,10797.0,58.624157
1,3994,102.314354,130.88937,7995.0,50.446877
1,3995,76.80246,120.3941,3802.0,34.78813
1,3996,63.506046,129.6224,3232.0,32.074562
1,3997,43.925808,135.28381,1456.0,21.528101
6,4214,106.103584,125.77137,172.0,7.3992767
6,4215,105.56352,126.37248,260.0,9.097283
6,4216,105.14238,128.01721,530.0,12.98862
6,4217,105.79811,128.16895,207.0,8.117274
6,4218,104.90553,126.7304,215.0,8.272643
6,4219,104.786026,125.68909,259.0,9.079772
6,4220,104.22397,125.36157,314.0,9.997465
6,4221,104.90018,125.47078,188.0,7.735778
6,4222,105.02281,127.404526,140.0,6.675581
6,4223,106.132195,125.86749,336.0,10.341765
6,4224,105.05808,125.50377,352.0,10.5851345
6,4225,105.656364,125.0342,239.0,8.722159
6,4226,105.259544,126.536224,118.0,6.1286674
6,4227,106.20838,126.46704,283.0,9.4911375
6,4228,105.90694,128.37921,259.0,9.079772
6,4229,106.07681,127.665764,143.0,6.746726
6,4230,107.22748,130.01894,144.0,6.770275
6,4231,106.96692,130.39697,273.0,9.321941
6,4232,106.22876,131.12843,213.0,8.234076
6,4233,105.827866,131.33862,183.0,7.632215
6,4235,103.74159,125.609505,334.0,10.310941
6,4236,104.01102,123.91188,396.0,11.227231
6,4237,104.55588,123.50322,240.0,8.740387
6,4239,102.36179,125.50348,194.0,7.8582516
6,4243,100.981026,127.51662,138.0,6.6277266
6,4244,101.967575,127.41193,180.0,7.5693974
6,4246,102.914276,127.310104,195.0,7.8784785
6,4247,103.026695,126.58234,223.0,8.425147
6,4248,101.94992,125.71126,491.0,12.501606
6,4249,104.02934,124.92851,397.0,11.241398
6,4250,105.49545,123.742966,216.0,8.29186
6,4251,105.87043,124.15081,228.0,8.519075
6,4252,104.825455,125.29689,516.0,12.815924
6,4253,105.29019,126.162445,506.0,12.691131
6,4254,106.79419,130.93163,576.0,13.54055
6,4255,106.23672,131.57042,724.0,15.180789
