id,frame,cx,cy,area,eq_radius
1,2063,107.31506,132.2232,9286.0,54.367504
1,2064,106.22333,132.43283,10715.0,58.401115
1,2065,103.931015,132.41298,10473.0,57.73785
1,2066,102.53415,132.74081,8392.0,51.6842
1,2067,91.44357,133.7289,3901.0,35.238144
1,2068,59.72674,141.332,2600.0,28.768137
1,2069,42.194855,149.57092,1528.0,22.053968
3,2178,109.87222,124.48207,445.0,11.901592
3,2192,108.84973,126.07013,240.0,8.740387
3,2193,108.45126,125.15744,227.0,8.500373
3,2196,108.23732,125.59935,256.0,9.027033
3,2197,108.14438,124.451385,280.0,9.440697
3,2200,108.33599,126.20831,230.0,8.556358
3,2201,107.82189,124.267555,334.0,10.310941
3,2203,109.02985,125.2016,174.0,7.4421716
3,2204,108.317566,125.20349,288.0,9.574615
3,2205,108.0874,124.45679,269.0,9.253397
3,2206,108.611084,124.80957,158.0,7.091753
3,2207,108.24664,128.18411,375.0,10.925484
3,2208,107.82075,129.23355,721.0,15.149304
3,2209,108.02281,129.29832,435.0,11.767107
3,2212,107.608765,127.31163,360.0,10.704744
3,2231,109.23086,129.25671,272.0,9.3048525
3,2232,109.01311,130.46582,210.0,8.175884
3,2233,109.680305,130.7935,240.0,8.740387
3,2235,108.96899,133.05246,258.0,9.062226
3,2236,107.70212,131.68727,463.0,12.139913
3,2237,108.22746,131.57187,352.0,10.5851345
3,2238,107.75232,129.96442,193.0,7.837972
3,2239,108.82445,129.99326,180.0,7.5693974
3,2240,108.870834,128.71143,167.0,7.290936
3,2244,108.67844,126.14341,192.0,7.8176403
3,2248,109.35484,121.70322,176.0,7.4848204
3,2249,110.30382,122.31784,144.0,6.770275
3,2252,109.002556,120.805435,132.0,6.4820447
3,2253,109.595726,120.13589,144.0,6.770275
3,2255,108.79114,120.014404,244.0,8.8129225
3,2256,108.55888,119.14061,325.0,10.171072
3,2257,109.34749,119.42502,256.0,9.027033
3,2264,108.76965,124.4109,247.0,8.866936
3,2265,109.28526,125.18663,175.0,7.4635262
3,2266,109.346634,123.91913,144.0,6.770275
3,2267,108.931244,123.18979,256.0,9.027033
3,2268,108.67928,122.75309,228.0,8.519075
3,2271,109.58737,121.95242,170.0,7.356132
3,2272,109.90824,121.739426,165.0,7.247146
3,2273,109.79547,121.9669,192.0,7.8176403
3,2275,109.0732,124.40642,341.0,10.418429
3,2276,108.84394,126.3714,360.0,10.704744
3,2277,109.08966,126.84805,271.0,9.287733
3,2278,108.76131,127.50704,240.0,8.740387
3,2279,108.12019,126.94617,415.0,11.493416
3,2280,107.99702,126.16849,337.0,10.357144
3,2281,107.55621,127.973724,355.0,10.630146
3,2282,107.50579,129.89816,304.0,9.836982
3,2283,106.89424,129.5452,405.0,11.354096
3,2284,106.82913,129.5445,397.0,11.241398
3,2285,107.51074,130.4404,320.0,10.09253
3,2286,106.676346,131.30084,472.0,12.257335
3,2287,107.06427,131.29668,519.0,12.853125
3,2288,106.70528,130.76312,431.0,11.71288
3,2289,106.07404,130.18526,315.0,10.013371
3,2290,107.52847,127.35776,230.0,8.556358
3,2291,107.73337,125.71023,214.0,8.253382
3,2292,107.46768,124.99585,292.0,9.640876
3,2293,107.51396,124.837906,256.0,9.027033
3,2294,106.09501,124.2551,266.0,9.2016535
3,2295,106.24185,123.546844,359.0,10.689867
3,2296,106.61529,123.39851,246.0,8.848968
3,2297,107.133224,123.23324,192.0,7.8176403
3,2298,107.04681,122.917435,189.0,7.7563243
3,2299,106.85921,122.52425,323.0,10.139729
3,2300,106.49516,122.51744,278.0,9.4069195
3,2301,106.86072,122.5573,216.0,8.29186
3,2302,107.0441,122.1786,234.0,8.630441
3,2303,106.6456,122.131454,445.0,11.901592
3,2304,106.22401,121.85523,419.0,11.548673
3,2305,107.520805,121.6366,383.0,11.041408
3,2306,105.850044,121.53647,505.0,12.678584
3,2307,104.87663,122.002304,682.0,14.733884
3,2308,106.544464,123.03967,518.0,12.840736
3,2309,107.01236,122.24483,278.0,9.4069195
4,2331,106.984566,136.14429,356.0,10.645107
4,2332,106.77521,135.2851,342.0,10.433694
4,2333,107.307335,133.04504,472.0,12.257335
4,2334,106.34555,132.6009,547.0,13.195284
4,2335,105.66454,129.14253,716.0,15.0966835
4,2336,105.29547,127.059425,759.0,15.543397
5,2353,109.64717,130.83841,171.0,7.377736
5,2354,108.850235,129.82878,249.0,8.902761
5,2355,108.72743,130.29155,227.0,8.500373
5,2356,108.88345,130.53833,224.0,8.444016
5,2357,108.68965,130.44003,281.0,9.4575405
5,2358,108.093544,130.89554,277.0,9.389986
5,2359,105.37698,128.79149,616.0,14.002817
5,2360,105.29709,128.34555,539.0,13.098436
5,2361,107.41254,127.33842,266.0,9.2016535
5,2362,106.34509,125.37331,304.0,9.836982
5,2363,107.01099,125.294815,204.0,8.058239
5,2379,109.26473,120.03122,154.0,7.0014086
5,2380,109.61517,119.6884,125.0,6.3078313
5,2381,109.21516,119.615555,125.0,6.3078313
5,2382,109.41429,119.801575,171.0,7.377736
5,2383,109.19294,119.44469,153.0,6.9786396
5,2384,109.202644,119.49582,125.0,6.3078313
5,2385,108.88329,119.69679,174.0,7.4421716
5,2386,108.62865,119.43884,245.0,8.830963
5,2387,108.57761,119.17566,217.0,8.311031
5,2388,108.47163,119.12306,234.0,8.630441
5,2389,108.53337,119.300186,208.0,8.136858
5,2390,108.22298,119.99387,300.0,9.77205
5,2391,107.886086,120.84026,340.0,10.403142
5,2392,108.022934,120.69946,304.0,9.836982
5,2393,107.43585,120.655205,259.0,9.079772
5,2394,107.46689,120.545586,285.0,9.524616
5,2395,107.19019,120.228676,281.0,9.4575405
5,2396,107.237335,119.67613,285.0,9.524616
5,2397,106.71863,119.55028,309.0,9.917547
5,2398,106.36665,119.24167,337.0,10.357144
5,2399,106.29386,119.20613,331.0,10.26453
5,2400,106.7267,119.276,335.0,10.3263645
5,2401,106.33719,119.657715,351.0,10.570088
5,2402,105.91645,119.90852,349.0,10.539931
5,2403,105.79559,120.19444,414.0,11.47956
6,2403,110.6812,136.40457,178.0,7.527228
5,2404,106.05033,119.89615,360.0,10.704744
6,2404,110.166115,136.01581,174.0,7.4421716
5,2405,105.64191,124.49696,581.0,13.599193
5,2406,104.954605,122.221245,479.0,12.347892
6,2406,109.695816,137.2667,155.0,7.0241036
5,2407,104.73935,120.91702,515.0,12.803499
6,2407,110.043785,137.54333,167.0,7.290936
5,2408,105.96748,125.21327,664.0,14.538148
5,2409,106.32028,126.926865,786.0,15.817445
5,2410,105.58162,127.0686,765.0,15.6047125
5,2411,104.70813,123.7695,587.0,13.669231
6,2411,108.09028,138.52243,174.0,7.4421716
5,2412,104.66396,121.42499,480.0,12.360774
5,2413,104.79892,121.763695,466.0,12.179179
5,2414,104.55135,122.52225,603.0,13.854272
5,2415,104.37587,122.83186,540.0,13.11058
5,2416,104.76346,122.67857,424.0,11.617374
5,2417,104.83994,122.180504,586.0,13.657583
5,2418,104.6047,121.860886,586.0,13.657583
5,2419,104.77428,122.04653,501.0,12.628272
5,2420,105.48062,122.75357,437.0,11.7941265
5,2421,105.63211,125.11232,389.0,11.127558
5,2422,104.88817,124.31937,693.0,14.85223
5,2423,104.125534,124.86162,694.0,14.862943
5,2424,103.6509,125.124306,636.0,14.22832
5,2425,103.19879,125.020584,592.0,13.727325
5,2426,102.757,124.61127,691.0,14.830783
5,2427,102.66647,123.84204,544.0,13.159049
5,2428,102.409195,123.69723,438.0,11.807613
5,2429,101.87942,123.67297,390.0,11.141851
5,2430,101.76244,123.63716,386.0,11.084566
5,2431,101.216125,123.64957,487.0,12.450579
5,2432,100.54171,123.3717,291.0,9.624353
5,2433,99.773224,122.15293,195.0,7.8784785
5,2434,99.774506,122.30062,220.0,8.368284
5,2435,99.184525,121.88394,271.0,9.287733
5,2436,98.308304,121.06573,164.0,7.225152
7,2482,103.86963,126.67961,217.0,8.311031
7,2483,104.16907,126.64786,228.0,8.519075
7,2484,104.0375,126.35119,228.0,8.519075
7,2485,103.90059,126.52877,263.0,9.149617
