id,frame,cx,cy,area,eq_radius
1,913,104.78451,121.696144,6271.0,44.67797
1,914,104.48168,122.705215,10184.0,56.935646
1,915,103.73636,123.652084,12127.0,62.130054
1,916,102.60896,124.00041,11989.0,61.77554
1,917,101.49444,123.41717,10371.0,57.455997
1,918,99.62528,125.337746,5452.0,41.658436
1,919,60.230427,129.45879,3087.0,31.346811
1,920,42.043533,135.22229,2248.0,26.749964
1,921,27.478224,140.41356,1836.0,24.174717
3,1089,106.187775,121.278755,184.0,7.65304
3,1092,105.18374,115.35448,186.0,7.69452
3,1100,105.10071,116.89288,240.0,8.740387
3,1101,105.52547,117.17012,163.0,7.20309
4,1164,105.7673,115.19391,531.0,13.000867
4,1165,105.449265,115.820045,402.0,11.311966
4,1167,105.40245,114.75075,176.0,7.4848204
4,1168,104.91802,114.55551,222.0,8.406236
4,1169,105.806404,114.40644,155.0,7.0241036
4,1170,105.53516,114.49977,192.0,7.8176403
4,1171,104.41892,116.60843,172.0,7.3992767
6,1212,106.61027,110.67633,353.0,10.60016
6,1213,105.86665,111.37488,152.0,6.9557962
6,1216,106.04663,118.53609,603.0,13.854272
6,1217,106.58326,119.383896,334.0,10.310941
7,1253,107.21908,124.401,325.0,10.171072
7,1254,105.71352,124.07469,297.0,9.723067
7,1267,106.399994,122.6219,160.0,7.1364965
7,1271,106.47296,120.22533,157.0,7.0692754
7,1272,106.507675,121.090164,192.0,7.8176403
9,1284,104.31764,124.00809,296.0,9.706685
9,1285,104.04822,123.76547,262.0,9.132206
9,1286,105.467964,123.154594,144.0,6.770275
9,1287,104.636024,123.341866,320.0,10.09253
9,1288,104.04323,123.15558,304.0,9.836982
9,1289,104.48318,122.48276,218.0,8.330159
9,1308,106.770065,124.868996,177.0,7.506054
9,1310,105.0963,123.58599,315.0,10.013371
9,1311,105.648964,123.450455,681.0,14.723078
9,1315,106.925255,123.86777,197.0,7.918778
9,1316,106.512726,124.64096,213.0,8.234076
10,1324,104.79482,110.134796,216.0,8.29186
10,1330,105.32175,112.27014,163.0,7.20309
10,1331,104.985016,111.28796,260.0,9.097283
10,1332,104.7263,110.38451,338.0,10.372499
10,1333,104.58857,114.05591,455.0,12.0345745
10,1334,105.538574,113.06091,341.0,10.418429
10,1335,104.67675,113.61665,391.0,11.156127
10,1336,104.33052,112.86128,502.0,12.640869
10,1337,103.90968,112.4711,449.0,11.954963
10,1338,104.20503,113.606,231.0,8.574939
10,1339,102.935684,113.468506,250.0,8.92062
10,1340,103.04428,114.729034,83.0,5.140012
11,1364,107.37898,127.23102,588.0,13.68087
11,1365,106.82764,123.173065,285.0,9.524616
11,1366,106.327194,118.69591,192.0,7.8176403
11,1367,105.8714,116.07152,120.0,6.180387
12,1406,102.60216,112.77942,498.0,12.590406
