id,frame,cx,cy,area,eq_radius
1,2214,107.69706,136.45575,221.0,8.38728
1,2215,107.498276,136.75616,223.0,8.425147
1,2216,107.385895,136.29274,222.0,8.406236
1,2217,107.36716,136.37968,224.0,8.444016
1,2218,107.02995,137.00266,237.0,8.685588
1,2219,107.13571,136.11545,268.0,9.236181
1,2220,106.93323,135.71756,297.0,9.723067
1,2221,107.027695,135.5473,310.0,9.933582
1,2222,106.91684,135.76083,295.0,9.690274
1,2223,106.59079,135.791,400.0,11.283792
1,2224,106.11661,136.30522,397.0,11.241398
1,2225,105.24819,136.31844,380.0,10.998079
1,2226,104.739105,136.09135,313.0,9.981532
1,2227,103.92555,135.82513,257.0,9.044647
1,2228,103.54453,135.93246,213.0,8.234076
1,2229,103.10216,135.46841,206.0,8.097644
1,2230,103.33227,135.10562,149.0,6.8868117
1,2231,103.117905,134.40082,191.0,7.797255
1,2233,104.1757,133.02448,230.0,8.556358
1,2234,105.84444,132.7775,194.0,7.8582516
1,2235,106.36575,132.6328,189.0,7.7563243
1,2236,106.67439,132.50258,222.0,8.406236
1,2237,106.35248,132.40657,192.0,7.8176403
1,2238,105.74974,132.35902,216.0,8.29186
1,2239,105.088455,132.37729,220.0,8.368284
1,2240,104.21422,132.20728,305.0,9.8531475
1,2241,104.03195,132.19014,260.0,9.097283
1,2242,103.669304,131.98102,321.0,10.108287
1,2243,103.04315,131.9534,330.0,10.249013
1,2244,102.60161,131.85773,382.0,11.026984
1,2245,101.890686,131.71428,437.0,11.7941265
1,2246,100.923584,131.67421,452.0,11.994835
1,2247,100.93706,131.69382,455.0,12.0345745
1,2248,100.88128,131.65726,471.0,12.244344
1,2249,100.54805,131.55296,476.0,12.309163
1,2250,99.98976,131.53421,487.0,12.450579
1,2251,100.28729,131.58875,496.0,12.565099
1,2252,100.38551,131.59564,503.0,12.653453
1,2253,100.3479,131.70001,578.0,13.564037
1,2254,100.28335,131.60045,578.0,13.564037
1,2255,100.103966,131.47641,603.0,13.854272
1,2256,100.05522,131.56163,604.0,13.865755
1,2257,100.00395,131.57802,609.0,13.923028
1,2258,99.99898,131.55511,605.0,13.877229
1,2259,99.92885,131.42961,577.0,13.552299
1,2260,99.449,131.62253,662.0,14.516237
1,2261,99.35538,131.79294,649.0,14.372999
1,2262,99.56827,131.84508,679.0,14.701442
1,2263,99.41147,132.19986,712.0,15.054456
1,2264,99.10643,132.07211,701.0,14.937712
1,2265,99.2363,131.69356,659.0,14.483308
1,2266,98.82526,131.50435,694.0,14.862943
1,2267,98.91877,131.73213,693.0,14.85223
1,2268,98.84782,131.86804,709.0,15.022706
1,2269,98.60861,132.01207,745.0,15.399379
1,2270,98.36337,132.11975,756.0,15.512649
1,2271,98.24525,131.9228,752.0,15.471556
1,2272,98.327286,131.80005,760.0,15.553634
1,2273,98.413475,131.64297,736.0,15.30608
1,2274,98.23601,131.44673,741.0,15.357982
1,2275,98.10061,131.63495,744.0,15.38904
1,2276,97.98505,131.77478,747.0,15.420035
1,2277,98.068726,131.80292,758.0,15.5331545
1,2278,98.086914,131.83571,748.0,15.430353
1,2279,98.05127,131.83568,839.0,16.342031
1,2280,97.90682,132.01689,847.0,16.419758
1,2281,97.75647,131.79082,838.0,16.332289
1,2282,97.62344,131.80368,837.0,16.322542
1,2283,97.576324,131.83936,842.0,16.371222
1,2284,97.43197,131.85345,837.0,16.322542
1,2285,97.47777,131.86417,848.0,16.42945
1,2286,97.32332,131.8921,855.0,16.49712
1,2287,97.27203,131.89587,875.0,16.688953
1,2288,97.11195,131.91786,930.0,17.20547
1,2289,96.98505,131.90155,937.0,17.2701
1,2290,96.95347,131.87077,942.0,17.316116
